GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101014600,976,505,119,74,93,29,113,9,74,16,106,0,0,471,281,222,61,33,92,0,20,0,0,0,11,6
42101014700,877,223,7,7,13,0,61,0,68,0,69,1,5,654,403,384,68,51,30,0,2,0,38,0,107,6
42101014800,407,111,12,0,24,0,18,3,28,7,29,0,0,296,214,93,23,5,9,4,12,0,6,0,22,10
42101014900,1625,576,179,131,108,6,116,28,46,0,127,0,0,1049,381,337,169,120,163,44,116,0,27,0,136,57
42101015101,814,275,73,59,69,48,33,0,62,0,38,0,0,539,231,215,98,36,42,12,47,0,23,0,33,65
42101015102,1660,488,197,121,86,47,85,0,59,0,39,0,22,1172,664,432,149,63,123,0,18,0,9,0,92,117
42101015200,1894,554,152,133,150,33,87,29,32,0,79,0,54,1340,864,706,260,125,104,66,0,0,23,0,40,49
42101015300,1043,287,94,70,113,69,10,0,41,13,29,0,0,756,466,416,109,40,49,0,36,11,17,0,53,26
42101015600,601,268,123,72,25,5,25,0,31,11,56,0,8,333,145,134,44,44,20,8,44,11,60,0,15,5
42101015700,921,425,114,78,65,37,52,0,68,17,126,0,0,496,96,91,130,104,132,12,25,5,73,0,12,28
42101015800,2586,1688,295,229,149,29,177,26,359,78,678,45,30,898,299,245,91,40,102,13,190,30,143,0,44,29
42101016000,2562,1721,287,230,289,104,230,57,359,11,482,0,74,841,199,167,126,73,147,136,93,0,250,0,0,26
42101016100,1796,909,361,243,177,58,82,10,105,8,184,12,0,887,402,393,70,55,104,19,186,0,34,0,21,70
42101016200,731,299,128,86,44,0,70,38,34,5,23,0,0,432,218,212,62,47,88,7,26,0,0,0,0,38
42101016300,1138,392,190,120,101,32,41,0,28,0,18,0,14,746,448,448,76,71,31,31,52,0,6,0,14,119
42101016400,1437,485,210,76,129,14,37,0,63,0,46,0,0,952,496,450,90,78,89,36,55,0,18,0,149,55
42101016500,914,293,141,99,54,0,63,0,5,0,30,0,0,621,397,196,135,57,15,0,38,0,13,0,0,23
42101016600,587,170,47,29,35,5,45,7,0,0,27,0,16,417,188,127,114,37,32,25,0,0,0,0,12,71
42101016701,1071,597,201,124,86,17,112,7,71,0,92,0,35,474,247,247,52,43,0,0,19,0,45,0,47,64
42101016702,1170,592,186,121,148,27,36,0,99,10,65,0,58,578,242,234,95,73,102,24,47,0,0,0,76,16
42101016800,1480,743,207,154,145,30,112,0,107,0,161,0,11,737,276,252,134,100,88,0,38,0,64,0,19,118
42101016901,1238,645,246,152,135,54,40,0,92,0,124,0,8,593,195,140,195,195,74,5,16,0,7,0,0,106
42101016902,2104,853,377,224,147,10,103,0,104,0,122,9,0,1251,528,511,306,139,179,78,83,0,30,0,63,62
42101017000,1307,493,158,93,77,51,37,0,119,0,87,0,15,814,279,167,138,107,81,0,92,41,127,0,84,13
42101017100,1514,1111,384,243,200,39,222,0,174,30,101,0,30,403,147,141,31,31,43,16,86,0,19,0,20,57
42101017201,1184,720,279,180,229,96,97,13,23,0,70,0,22,464,252,252,102,102,66,44,25,0,0,0,0,19
42101017202,1434,804,322,242,86,26,226,33,131,0,16,0,23,630,237,224,168,104,85,5,11,0,0,0,63,66
42101017300,1196,650,305,205,168,61,18,0,112,0,47,0,0,546,215,215,125,83,43,0,0,0,57,0,0,106
42101017400,867,485,180,112,57,19,72,17,121,0,17,0,38,382,226,211,84,51,57,0,6,0,0,0,0,9
42101017500,2254,1058,470,261,169,35,216,16,52,0,88,0,63,1196,606,593,310,230,49,0,67,54,35,0,34,95
42101017601,1883,931,433,198,165,0,52,30,155,30,75,0,51,952,472,437,184,133,117,21,0,0,38,0,114,27
42101017602,1278,544,227,164,114,30,52,0,71,0,41,0,39,734,416,416,208,186,25,0,0,0,0,0,50,35
42101017701,1015,377,113,94,137,24,78,52,22,0,18,0,9,638,223,223,207,151,65,0,24,0,21,0,28,70
42101017702,1670,649,362,250,115,70,46,10,51,0,45,0,30,1021,652,640,139,124,38,0,0,0,53,0,22,117
42101017800,2110,871,361,239,195,60,217,26,77,0,21,0,0,1239,567,541,271,179,58,9,0,0,120,0,31,192
42101017900,2158,1051,375,272,217,55,87,0,163,36,123,0,86,1107,375,375,326,258,269,239,96,0,22,0,0,19
42101018001,1042,681,118,108,127,76,108,24,97,22,231,0,0,361,172,172,89,34,22,0,31,31,16,0,0,31
42101018002,2282,1621,268,167,243,60,259,70,352,55,476,0,23,661,206,206,199,199,111,71,32,0,55,0,8,50
42101018300,1579,1259,196,136,224,93,114,36,288,7,384,0,53,320,32,32,55,42,23,23,53,0,30,0,53,74
42101018400,876,699,61,44,102,27,147,50,155,7,234,6,0,177,82,75,51,43,20,0,0,0,24,0,0,0
42101018800,2446,1330,458,369,246,65,260,0,290,0,76,0,0,1116,612,598,196,196,175,41,0,0,18,0,54,61
42101019000,2484,1243,162,116,313,215,306,100,268,46,142,0,52,1241,500,471,310,246,259,72,87,35,0,0,19,66
42101019100,2779,1855,417,375,408,295,274,77,317,14,357,0,82,924,362,362,220,220,133,107,44,0,58,0,54,53
